,TERM,COST,MEAN
0,a,0.0,0.0
1,abilities,4.0,4.0
2,ability,2.0,2.0
3,able,45.0,45.0
4,aboard,21.5,21.5
5,abolished,30.0,30.0
6,about,2.35,2.35
7,above,239.99,239.99
8,abridge,49.95,49.95
9,absolute,29.0,29.0
10,absolutely,14.5,14.5
11,absorb,9.99,9.99
12,absorbed,11.99,11.99
13,abundance,"['$0.35', '$1.49', '$1.5', '$1.57', '$2.06', '$2.06', '$33.71']",6.105714285714287
14,abundant,4.99,4.99
15,academic,9.98,9.98
16,academics,10.79,10.79
17,accelerating,97.0,97.0
18,accept,7.98,7.98
19,accepted,4.39,4.39
20,accepting,235.0,235.0
21,access,24.9,24.9
22,accident,15.0,15.0
23,accidentally,12.95,12.95
24,accomplish,25.0,25.0
25,accomplished,9.95,9.95
26,according,3.78,3.78
27,account,5.99,5.99
28,accountability,8.44,8.44
29,accountable,4.02,4.02
30,accountant,7.7,7.7
31,accountants,9.95,9.95
32,accounting,4.99,4.99
33,accounts,7.99,7.99
34,accumulate,1.49,1.49
35,accumulates,,
36,accumulating,,
37,accurate,282.09,282.09
38,aches,13.99,13.99
39,achieve,5.99,5.99
40,achieved,4.09,4.09
41,achieving,4.14,4.14
42,acknowledge,10.0,10.0
43,acquire,40.0,40.0
44,acquired,129.99,129.99
45,acquiring,24.38,24.38
46,acquisitions,74.11,74.11
47,across,19.49,19.49
48,act,2.95,2.95
49,acting,218.09,218.09
50,action,23.99,23.99
51,actions,13.99,13.99
52,activate,15.95,15.95
53,activates,13.23,13.23
54,active,152.99,152.99
55,actively,27.99,27.99
56,activities,5.08,5.08
57,activity,27.58,27.58
58,actor,7.98,7.98
59,actual,21.99,21.99
60,actually,6.49,6.49
61,ad,12.95,12.95
62,adapt,46.0,46.0
63,add,50.0,50.0
64,added,103.5,103.5
65,addict,49.99,49.99
66,addicted,13.99,13.99
67,adding,9.99,9.99
68,addition,14.99,14.99
69,additional,37.99,37.99
70,additionally,45.0,45.0
71,address,"['$7.98', '$15.0', '$15.0', '$18.0', '$20.0', '$20.0', '$20.0', '$20.0', '$25.0']",17.886666666666674
72,addresses,"['$1.0', '$2.0', '$3.0', '$7.98', '$15.0', '$20.0', '$20.0', '$250.0', '$500.0']",90.99777777777778
73,adds,29.99,29.99
74,adjust,"['$112.22', '$112.22']",112.22
75,adjusted,749.99,749.99
76,admit,6.95,6.95
77,admitted,1.0,1.0
78,adopted,"['$0.0', '$3.0', '$3.0', '$4.0', '$4.0', '$5.0', '$5.0', '$12.0', '$15.0', '$16.0', '$34.0', '$39.0', '$40.0', '$40.0', '$40.0', '$43.0', '$50.0', '$50.0', '$2500.0', '$45000.0']",2395.15
79,adoption,2.0,2.0
80,ads,100.0,100.0
81,adult,7.89,7.89
82,adults,6.99,6.99
83,advanced,11.62,11.62
84,advantage,24.0,24.0
85,advantages,,
86,adventure,139.99,139.99
87,adventurous,24.29,24.29
88,advertise,17.95,17.95
89,advertisements,4.95,4.95
90,advertisers,16.5,16.5
91,advertising,31.95,31.95
92,advice,6.06,6.06
93,adviser,2.49,2.49
94,advisor,62.99,62.99
95,advisors,9.99,9.99
96,advocates,19.49,19.49
97,affect,18.99,18.99
98,affected,13.99,13.99
99,affecting,15.47,15.47
100,affects,15.0,15.0
101,affiliate,4.99,4.99
102,affiliated,4.99,4.99
103,affirmation,4.95,4.95
104,afford,21.5,21.5
105,affords,2.0,2.0
106,afraid,7.94,7.94
107,after,2.0,2.0
108,afternoon,30.0,30.0
109,afterwards,6.95,6.95
110,again,9.95,9.95
111,against,13.99,13.99
112,age,22.15,22.15
113,agency,24.95,24.95
114,agenda,31.29,31.29
115,agent,"['$5.0', '$5.0', '$25.0', '$50.0', '$100.0', '$500.0', '$500.0', '$1000.0']",273.125
116,agents,69.5,69.5
117,aggregate,49.99,49.99
118,aggressive,150.0,150.0
119,aggressively,14.99,14.99
120,ago,18.99,18.99
121,agonizing,1.0,1.0
122,agrarian,4.09,4.09
123,agree,35.0,35.0
124,agreed,79.99,79.99
125,agreement,4.33,4.33
126,ah,50.36,50.36
127,ahead,29.99,29.99
128,aide,24.98,24.98
129,aim,650.0,650.0
130,aiming,149.99,149.99
131,ain't,,
132,air,140.0,140.0
133,aircraft,14300.0,14300.0
134,airlines,17.99,17.99
135,airplane,40200.0,40200.0
136,airport,99.95,99.95
137,alcohol,8.95,8.95
138,algorithm,9.68,9.68
139,algorithms,34.95,34.95
140,alien,"['$2.94', '$29.5', '$30.0', '$35.0', '$42.13', '$42.13', '$58.99', '$81.99', '$84.0', '$115.45', '$119.99', '$120.0', '$120.0', '$120.0', '$122.99']",75.0073333333333
141,alignment,"['$40.0', '$40.0', '$40.0', '$50.0', '$50.0', '$50.0', '$59.0', '$65.0', '$69.95', '$69.95', '$75.0', '$75.0', '$75.0', '$79.95', '$99.95', '$100.0', '$127.0', '$200.0']",75.87777777777778
142,aline,19.99,19.99
143,alive,9.99,9.99
144,all,54.99,54.99
145,allocate,32.96,32.96
146,allover,13.87,13.87
147,allow,89.95,89.95
148,allowed,14.99,14.99
149,allowing,22.0,22.0
150,allows,10.0,10.0
151,almost,26.95,26.95
152,alone,19.99,19.99
153,along,60.0,60.0
154,alongside,23.21,23.21
155,already,12.99,12.99
156,alright,$94.0,94.0
157,also,4.14,4.14
158,alternative,,
159,although,59.95,59.95
160,always,9.99,9.99
161,am,79.99,79.99
162,amalgam,469.0,469.0
163,amazed,4.79,4.79
164,amazing,19.99,19.99
165,ambassador,275.0,275.0
166,ambitious,44.1,44.1
167,amen,9.95,9.95
168,among,12.47,12.47
169,amongst,14.8,14.8
170,amortization,2.99,2.99
171,amount,"['$1.0', '$4.0', '$6.0', '$10.0']",5.25
172,amounts,6.0,6.0
173,an,29.09,29.09
174,analogy,29.99,29.99
175,analysis,25.94,25.94
176,analytical,66.66,66.66
177,analyze,6.0,6.0
178,ancestry,19.99,19.99
179,anchor,29.53,29.53
180,ancient,10.5,10.5
181,and,6.0,6.0
